band_digits,family,supported,samples_requested,samples_built,d_value,unit_z_count,subunit_z_count,min_neg_log10_z,median_neg_log10_z,max_neg_log10_z,status
1,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
1,semiprime_balanced,true,4,4,4,0,4,0.778151250383643633412589,0.778151250383643633412589,0.778151250383643633412589,ok
1,prime_square,true,4,4,3,0,4,0.301029995663981198017467,0.301029995663981198017467,0.301029995663981198017467,ok
1,prime_cube,true,4,4,4,0,4,0.903089986991943538541250,0.903089986991943538541250,0.903089986991943538541250,ok
1,squarefree_3,false,4,0,8,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
1,squarefree_6,false,4,0,64,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
1,smooth_4321,false,4,0,120,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
2,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
2,semiprime_balanced,true,4,4,4,0,4,1.000000000000000000000000,1.000000000000000000000000,1.000000000000000000000000,ok
2,prime_square,true,4,4,3,0,4,0.698970004336018857493684,0.698970004336018857493684,0.698970004336018857493684,ok
2,prime_cube,true,4,4,4,0,4,1.431363764158987361696518,1.431363764158987361696518,1.431363764158987361696518,ok
2,squarefree_3,true,4,4,8,0,4,4.431363764158986917607308,4.431363764158986917607308,4.431363764158986917607308,ok
2,squarefree_6,false,4,0,64,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
2,smooth_4321,false,4,0,120,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
3,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
3,semiprime_balanced,true,4,4,4,0,4,2.155336037465061860274318,2.155336037465061860274318,2.155336037465061860274318,ok
3,prime_square,true,4,4,3,0,4,1.041392685158225139829824,1.041392685158225139829824,1.041392685158225139829824,ok
3,prime_cube,true,4,4,4,0,4,2.096910013008056239414145,2.096910013008056239414145,2.096910013008056239414145,ok
3,squarefree_3,true,4,4,8,0,4,6.025800515285753000682689,6.025800515285753000682689,6.025800515285753000682689,ok
3,squarefree_6,false,4,0,64,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
3,smooth_4321,false,4,0,120,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
4,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
4,semiprime_balanced,true,4,4,4,0,4,3.028164419424469677721845,3.028164419424469677721845,3.028164419424469677721845,ok
4,prime_square,true,4,4,3,0,4,1.568201724066994984241319,1.568201724066994984241319,1.568201724066994984241319,ok
4,prime_cube,true,4,4,4,0,4,3.124178055474675197444867,3.124178055474675197444867,3.124178055474675197444867,ok
4,squarefree_3,true,4,4,8,0,4,9.001302232437955908039839,9.001302232437955908039839,9.001302232437955908039839,ok
4,squarefree_6,false,4,0,64,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
4,smooth_4321,false,4,0,120,0,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,unsupported_small_band
5,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
5,semiprime_balanced,true,4,4,4,0,4,4.017158598487815091004904,4.017158598487815091004904,4.017158598487815091004904,ok
5,prime_square,true,4,4,3,0,4,2.004321373782642634608919,2.004321373782642634608919,2.004321373782642634608919,ok
5,prime_cube,true,4,4,4,0,4,4.085183508052778300623231,4.085183508052778300623231,4.085183508052778300623231,ok
5,squarefree_3,true,4,4,8,0,4,12.019783158552410640140806,12.019783158552410640140806,12.019783158552410640140806,ok
5,squarefree_6,true,4,4,64,0,4,138.804215298168401204748079,138.804215298168401204748079,138.804215298168401204748079,ok
5,smooth_4321,true,4,4,120,0,4,287.832785934571177222096594,287.832785934571177222096594,287.832785934571177222096594,ok
6,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
6,semiprime_balanced,true,4,4,4,0,4,5.000395028267917929554187,5.000395028267917929554187,5.000395028267917929554187,ok
6,prime_square,true,4,4,3,0,4,2.501059262217751655299480,2.501059262217751655299480,2.501059262217751655299480,ok
6,prime_cube,true,4,4,4,0,4,5.016293573807152128551934,5.016293573807152128551934,5.016293573807152128551934,ok
6,squarefree_3,true,4,4,8,0,4,15.003162166295162194273871,15.003162166295162194273871,15.003162166295162194273871,ok
6,squarefree_6,true,4,4,64,0,4,156.107004972663702346835635,156.107004972663702346835635,156.107004972663702346835635,ok
6,smooth_4321,true,4,4,120,0,4,299.414169998065290201338939,299.414169998065290201338939,299.414169998065290201338939,ok
7,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
7,semiprime_balanced,true,4,4,4,0,4,6.002586324548566665271210,6.002586324548566665271210,6.002586324548566665271210,ok
7,prime_square,true,4,4,3,0,4,3.003891166236910326148291,3.003891166236910326148291,3.003891166236910326148291,ok
7,prime_cube,true,4,4,4,0,4,6.012964121347927459737548,6.012964121347927459737548,6.012964121347927459737548,ok
7,squarefree_3,true,4,4,8,0,4,18.011790998262178220556962,18.011790998262178220556962,18.011790998262178220556962,ok
7,squarefree_6,true,4,4,64,0,4,196.146188135809893537953030,196.146188135809893537953030,196.146188135809893537953030,ok
7,smooth_4321,true,4,4,120,0,4,355.191533895438453782844590,355.191533895438453782844590,355.191533895438453782844590,ok
8,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
8,semiprime_balanced,true,4,4,4,0,4,7.000534157592382733525938,7.000534157592382733525938,7.000534157592382733525938,ok
8,prime_square,true,4,4,3,0,4,3.500099191915722940393607,3.500099191915722940393607,3.500099191915722940393607,ok
8,prime_cube,true,4,4,4,0,4,7.044914589144481986693336,7.044914589144481986693336,7.044914589144481986693336,ok
8,squarefree_3,true,4,4,8,0,4,21.007755217712450246381195,21.007755217712450246381195,21.007755217712450246381195,ok
